2457070.38612 11.8157   0.0018 
2457070.38876 11.8245   0.0018 
2457070.39140 11.8394   0.0018 
2457070.39404 11.8469   0.0018 
2457070.39667 11.8607   0.0018 
2457070.39931 11.8757   0.0019 
2457070.40194 11.8922   0.0019 
2457070.40457 11.9073   0.0019 
2457070.40721 11.9235   0.0019 
2457070.40985 11.9452   0.0019 
2457070.41251 11.9680   0.0019 
2457070.41519 11.9909   0.0020 
2457070.41785 12.0157   0.0020 
2457070.42053 12.0458   0.0020 
2457070.42322 12.0786   0.0021 
2457070.42589 12.1064   0.0021 
2457070.42852 12.1435   0.0021 
2457070.43119 12.1816   0.0022 
2457070.43384 12.2294   0.0022 
2457070.43651 12.2663   0.0023 
2457070.43918 12.3109   0.0023 
2457070.44182 12.3524   0.0024 
2457070.44445 12.3797   0.0024 
2457070.44713 12.3950   0.0024 
2457070.44978 12.4001   0.0025 
2457070.45244 12.4023   0.0024 
2457070.45878 12.3878   0.0025 
2457070.46146 12.3743   0.0024 
2457070.46415 12.3488   0.0024 
2457070.46677 12.3067   0.0024 
2457070.46947 12.2713   0.0023 
2457070.47216 12.2279   0.0023 
2457070.47484 12.1932   0.0022 
2457070.47754 12.1514   0.0022 
2457070.48020 12.1199   0.0021 
2457070.48284 12.0885   0.0021 
2457070.48550 12.0542   0.0020 
2457070.48813 12.0291   0.0020 
2457070.49079 12.0049   0.0020 
2457070.49345 11.9833   0.0020 
2457070.49611 11.9593   0.0020 
2457070.49877 11.9409   0.0019 
2457070.50143 11.9243   0.0019 
2457070.50408 11.9073   0.0019 
2457070.50674 11.8923   0.0019 
2457070.50941 11.8792   0.0019 
2457070.51209 11.8677   0.0019 
2457070.51478 11.8543   0.0019 
2457070.51742 11.8473   0.0019 
2457070.52007 11.8385   0.0018 
2457070.52276 11.8267   0.0018 
2457070.52540 11.8169   0.0018 
2457070.52807 11.8087   0.0018 
2457070.53072 11.8035   0.0018 
2457070.53340 11.8029   0.0019 
2457070.53605 11.7945   0.0019 
2457070.53870 11.7968   0.0018 
2457070.54138 11.7908   0.0018 
2457070.54407 11.7914   0.0018 
2457070.54674 11.7946   0.0018 
2457070.54940 11.7986   0.0018 
2457070.55206 11.7988   0.0018 
2457070.55476 11.8055   0.0018 
2457070.55746 11.8118   0.0018 
2457070.56012 11.8190   0.0018 
2457070.56283 11.8273   0.0019 
2457070.56551 11.8271   0.0019 
2457070.56816 11.8404   0.0019 
2457070.57080 11.8563   0.0018 
2457070.57344 11.8677   0.0019 
2457070.57615 11.8775   0.0019 
2457070.57878 11.8883   0.0019 
2457070.58145 11.9063   0.0019 
2457070.58412 11.9202   0.0019 
2457070.58676 11.9268   0.0020 
2457070.58945 11.9491   0.0020 
2457070.59213 11.9674   0.0020 
2457070.59480 11.9821   0.0020 
2457070.59747 12.0043   0.0021 
2457070.60013 12.0223   0.0021 
2457070.60280 12.0535   0.0021 
2457070.60551 12.0803   0.0022 
2457070.60819 12.1112   0.0022 
2457070.61085 12.1486   0.0023 
2457070.61349 12.1821   0.0023 
2457070.61616 12.2219   0.0023 
2457070.61883 12.2689   0.0024 
2457070.62154 12.3105   0.0024 
2457070.62419 12.3569   0.0025 
2457070.62684 12.3912   0.0025 
2457070.62955 12.4270   0.0026 
2457070.63221 12.4542   0.0027 
2457070.63486 12.4453   0.0027 
2457070.63757 12.4540   0.0028 
2457070.64027 12.4469   0.0028 
2457070.64293 12.4527   0.0028 
2457070.64559 12.4421   0.0028 
2457070.64823 12.4465   0.0028 
2457070.65091 12.4289   0.0028 
2457070.65357 12.3946   0.0028 
2457070.65624 12.3491   0.0029 
2457070.65887 12.3171   0.0027 
2457070.66154 12.2543   0.0027 
2457070.66423 12.2211   0.0027 
2457070.66691 12.1732   0.0026 
2457070.66959 12.1299   0.0026 
2457070.67226 12.0954   0.0025 
2457070.67495 12.0627   0.0025 
2457070.67763 12.0253   0.0026 
2457070.68030 12.0067   0.0024 
2457070.68296 11.9840   0.0024 
2457070.68563 11.9706   0.0025 
