2457070.50486 10.6982   0.0030 
2457070.50753 10.6845   0.0030 
2457070.51020 10.6759   0.0029 
2457070.51287 10.6625   0.0030 
2457070.51556 10.6544   0.0030 
2457070.51820 10.6489   0.0029 
2457070.52086 10.6397   0.0029 
2457070.52353 10.6234   0.0029 
2457070.52616 10.6121   0.0028 
2457070.52883 10.6128   0.0029 
2457070.53151 10.6019   0.0029 
2457070.53417 10.5997   0.0028 
2457070.53682 10.5954   0.0028 
2457070.53948 10.6031   0.0028 
2457070.54217 10.5904   0.0028 
2457070.54484 10.5924   0.0029 
2457070.54753 10.5991   0.0029 
2457070.55019 10.5977   0.0028 
2457070.55286 10.5991   0.0028 
2457070.55555 10.6040   0.0028 
2457070.55826 10.6034   0.0028 
2457070.56091 10.6203   0.0028 
2457070.56361 10.6147   0.0028 
2457070.56628 10.6252   0.0028 
2457070.56894 10.6427   0.0029 
2457070.57158 10.6542   0.0029 
2457070.57423 10.6532   0.0029 
2457070.57691 10.6742   0.0028 
2457070.57955 10.6812   0.0028 
2457070.58224 10.6965   0.0029 
2457070.58490 10.7120   0.0029 
2457070.58756 10.7171   0.0030 
2457070.59024 10.7420   0.0030 
2457070.59291 10.7526   0.0030 
2457070.59558 10.7681   0.0030 
2457070.59826 10.7976   0.0031 
2457070.60092 10.8171   0.0031 
2457070.60359 10.8276   0.0031 
2457070.60628 10.8590   0.0031 
2457070.60895 10.8840   0.0033 
2457070.61162 10.9262   0.0034 
2457070.61429 10.9552   0.0034 
2457070.61694 10.9981   0.0033 
2457070.61962 11.0332   0.0034 
2457070.62233 11.0909   0.0034 
2457070.62498 11.1229   0.0035 
2457070.62764 11.1560   0.0037 
2457070.63033 11.1973   0.0038 
2457070.63298 11.2096   0.0039 
2457070.63565 11.2047   0.0040 
2457070.63836 11.1988   0.0043 
2457070.64105 11.1974   0.0041 
2457070.64371 11.2060   0.0042 
2457070.64637 11.1985   0.0041 
2457070.64901 11.1931   0.0041 
2457070.65169 11.1771   0.0041 
