#time  flux    error
55020.379812     0.991718483227     3.7e-05
55020.4002461     0.990832749145     3.7e-05
55020.42068     0.989388337951     3.7e-05
55020.4411141     0.988010421244     3.7e-05
55020.4615483     0.980310694877     3.7e-05
55020.4819823     0.957010589591     3.7e-05
55020.5024164     0.924139246397     3.7e-05
55020.5228505     0.888175714921     3.7e-05
55020.5432846     0.853828227911     3.7e-05
55020.5637186     0.825917708579     3.7e-05
55020.5841527     0.808855868627     3.6e-05
55020.6045869     0.807029312394     3.6e-05
55020.6250208     0.817647822501     3.6e-05
55020.6454549     0.841546470168     3.6e-05
55020.6658891     0.873572338599     3.6e-05
55020.6863231     0.909960383787     3.6e-05
55020.7067572     0.943747115125     3.6e-05
55020.7271912     0.971487080337     3.6e-05
55020.7476253     0.984754293427     3.6e-05
55020.7680594     0.986779215807     3.7e-05
55020.7884935     0.9880465361     3.7e-05
55020.8089276     0.989351221367     3.7e-05
55020.8293616     0.991017547065     3.7e-05
55020.8497957     0.992706035242     3.7e-05
55020.8702297     0.993406730673     3.7e-05
55020.8906638     0.996299998141     3.7e-05
55020.9110979     0.997194904769     3.7e-05
55020.9315319     0.999827415361     3.7e-05
55020.9519661     1.00099652435     3.8e-05
55020.9724001     1.0031838641     3.8e-05
55020.9928342     1.00500863772     3.8e-05
55021.0132682     1.00626988983     3.8e-05
55021.0337024     1.00806067519     3.8e-05
55021.0745704     1.0113387118     3.8e-05
55021.0950046     1.01209612972     3.8e-05
55021.1154386     1.01383419587     3.8e-05
55021.1358726     1.01385962678     3.8e-05
55021.1563067     1.01515481171     3.9e-05
55021.1767409     1.01549989035     3.9e-05
55021.1971748     1.01529757352     3.8e-05
55021.2176089     1.01616219064     3.8e-05
55021.2380431     1.01562043336     3.8e-05
55021.2584771     1.01462216511     3.8e-05
55021.2789111     1.0146456632     3.8e-05
55021.2993452     1.01344015258     3.8e-05
55021.3197793     1.01222334755     3.8e-05
55021.3402133     1.01154343897     3.8e-05
55021.3606474     1.01015061622     3.8e-05
55021.3810815     1.00860501947     3.8e-05
55021.4015155     1.00730280708     3.8e-05
55021.4219496     1.00451195361     3.8e-05
55021.4423836     1.00396422836     3.8e-05
55021.4628177     1.00140159032     3.8e-05
55021.4832518     0.999762405417     3.8e-05
55021.5036858     0.998225042479     3.8e-05
55021.5241199     0.995960316024     3.8e-05
55021.544554     0.994346396003     3.8e-05
55021.564988     0.992660341877     3.8e-05
55021.585422     0.991440436554     3.8e-05
55021.6058562     0.989714992502     3.8e-05
55021.6262902     0.988711413137     3.8e-05
55021.6467242     0.981187988963     3.8e-05
55021.6671584     0.961456111593     3.8e-05
55021.6875924     0.933497341649     3.8e-05
55021.7080264     0.901157251661     3.8e-05
55021.7284605     0.870710106138     3.8e-05
55021.7488945     0.845398860968     3.8e-05
55021.7693286     0.830513968478     3.8e-05
55021.7897626     0.826662810426     3.8e-05
55021.8101967     0.836218865332     3.8e-05
55021.8306308     0.85844029079     3.8e-05
55021.8510648     0.887170959847     3.8e-05
55021.8714988     0.918225118824     3.8e-05
55021.8919329     0.948695637669     3.8e-05
55021.912367     0.973103705848     3.8e-05
55021.932801     0.987622318328     3.8e-05
55021.9532351     0.988963982562     3.8e-05
55021.9736692     0.990594066449     3.8e-05
55021.9941032     0.991289897578     3.8e-05
55022.0145372     0.993072426417     3.8e-05
55022.0349714     0.994269144916     3.8e-05
55022.0554054     0.995378554925     3.8e-05
55022.0758394     0.997376165022     3.8e-05
55022.0962735     0.997114481391     3.8e-05
55022.1167076     0.999937539109     3.8e-05
55022.1371416     1.00128066914     3.8e-05
55022.1575756     1.00299685055     3.8e-05
55022.1780098     1.00374071986     3.8e-05
55022.1984437     1.00562406799     3.8e-05
55022.2188778     1.00640207829     3.8e-05
55022.2393119     1.00756847862     3.8e-05
55022.2597459     1.00886880152     3.8e-05
55022.2801799     1.00911010739     3.8e-05
55022.300614     1.01107026635     3.8e-05
55022.3210481     1.0106082811     3.8e-05
55022.3414821     1.01248198372     3.8e-05
55022.3619162     1.01185879833     3.8e-05
55022.3823503     1.01294780039     3.8e-05
55022.4027843     1.01271749614     3.8e-05
55022.4232183     1.01342606669     3.8e-05
55022.4436523     1.01356773662     3.8e-05
55022.4640864     1.01240745721     3.8e-05
55022.4845205     1.01274443453     3.8e-05
55022.5049545     1.01197333844     3.8e-05
55022.5253886     1.01149157714     3.8e-05
55022.5458226     1.01080258743     3.8e-05
55022.5662567     1.01000491953     3.8e-05
55022.5866906     1.00913125572     3.8e-05
55022.6071248     1.00809795125     3.8e-05
55022.6275588     1.00717247693     3.8e-05
55022.6479928     1.00545793823     3.8e-05
55022.6684268     1.00502247148     3.8e-05
55022.688861     1.00325971686     3.8e-05
55022.7092949     1.00240162489     3.8e-05
55022.729729     1.00077297011     3.8e-05
55022.7501631     0.999217579942     3.8e-05
55022.7705972     0.998274105885     3.8e-05
55022.7910311     0.996342161123     3.7e-05
55022.8114652     0.994771498173     3.7e-05
55022.8318993     0.993857672843     3.7e-05
55022.8523333     0.99177923772     3.7e-05
55022.8727673     0.991239605758     3.7e-05
55022.8932015     0.989532157171     3.7e-05
55022.9136354     0.98798592451     3.7e-05
55022.9340694     0.978796991034     3.7e-05
55022.9545034     0.953913709954     3.7e-05
55022.9749375     0.920395822995     3.6e-05
55022.9953716     0.884910177402     3.6e-05
55023.0158056     0.849931964981     3.6e-05
55023.0362397     0.823739096044     3.6e-05
