#phase	flux	error
-0.466492002206	0.978301273853	0.000203431566686
-0.466216216216	0.978884902869	0.000203488953488
-0.465940430226	0.9794540313	0.00020354381892
-0.465664644236	0.980007643809	0.000203600928074
-0.465388858246	0.980545737264	0.000203657010429
-0.465113072256	0.981068241186	0.000203711805556
-0.464837286266	0.981574510332	0.000203763720393
-0.464561500276	0.982064952146	0.000203813510393
-0.464285714286	0.982538711629	0.000203857472591
-0.464009928296	0.982995546111	0.000203897864974
-0.463734142306	0.983435151245	0.000203931293303
-0.463458356315	0.983857339334	0.000203958983247
-0.463182570325	0.984260212577	0.000203986705202
-0.462906784335	0.984644301571	0.000204009243212
-0.462630998345	0.985008281104	0.000204030057803
-0.462355212355	0.98535157349	0.000204050896472
-0.462079426365	0.985673475846	0.00020407349537
